text,difficulty,result,sentiment
"Company Adobe. Role Software Engineer. Experience level Mid. Coding Round 1 question Median of Two Sorted Arrays with hard time complexity requirements. Coding Round 2 question Trapping Rain Water using dynamic programming and two pointer approach. Tips focus heavily on DP and array manipulation. Tags Adobe Arrays DP.",Hard,Selected,Positive
"Company Airbnb. Role Backend Engineer. Experience level Senior. System design round on URL shortener discussing database schema hashing algorithms and collision handling. Coding round on Alien Dictionary using topological sort. Tips practice graph traversals and large scale system design.",Hard,Rejected,Negative
"Company Google. Role L4 Engineer. Experience level Mid. DSA round on Course Schedule II focusing on cycle detection in directed graph using DFS. Tips clarify edge cases before coding.",Medium,Selected,Positive
"Company Affirm. Role Full Stack Developer. Experience level Fresher. Technical round question Insert Delete GetRandom O(1) requiring hash map and array based data structure design. Tips know hash maps thoroughly.",Medium,Selected,Positive
"Company Amazon. Role SDE-1. Experience level Fresher. Online assessment on Reorder Data in Log Files involving string manipulation and custom sorting. Tips read problem statement carefully.",Easy,Selected,Positive
"Company Microsoft. Role Software Engineer. Experience level Mid. DSA round question Lowest Common Ancestor of a Binary Tree using recursion. Tips practice tree recursion patterns.",Medium,Selected,Positive
"Company Uber. Role Backend Engineer. Experience level Senior. System design round on designing a rate limiter discussing token bucket and leaky bucket algorithms. Tips focus on scalability and Redis.",Hard,Selected,Positive
"Company Facebook. Role Frontend Engineer. Experience level Mid. Coding round question Flatten Nested List Iterator using stack based design. Tips understand iterators well.",Medium,Selected,Positive
"Company Netflix. Role Senior Engineer. Experience level Senior. System design round on designing a video streaming service focusing on CDN latency and adaptive bitrate streaming. Tips deep networking knowledge required.",Hard,Selected,Positive
"Company Apple. Role iOS Engineer. Experience level Mid. DSA round on Two Sum using hash map for optimal time complexity. Tips optimize space and time.",Easy,Selected,Positive
"Company LinkedIn. Role Backend Engineer. Experience level Mid. Coding round on Max Points on a Line involving geometry and hash maps. Tips be careful with floating point precision.",Hard,Rejected,Negative
"Company Twitter. Role SDE-2. Experience level Mid. System design round on Tweet Search Service discussing inverted index and real time ingestion. Tips understand search engine basics.",Medium,Selected,Positive
"Company Salesforce. Role Software Engineer. Experience level Fresher. Coding round question Valid Parentheses using stack. Tips write clean and readable code.",Easy,Selected,Positive
"Company Oracle. Role Server Technology Engineer. Experience level Mid. DSA round question LRU Cache using doubly linked list and hash map. Tips this is a frequent interview question.",Medium,Selected,Positive
"Company Atlassian. Role Full Stack. Experience level Mid. System design round on rate limiter middleware for APIs discussing sliding window log algorithm. Tips explain design tradeoffs.",Medium,Selected,Positive
"Company DoorDash. Role Backend Engineer. Experience level Mid. Coding round on Employee Free Time using interval merging and sorting. Tips interval problems are common.",Hard,Selected,Positive
"Company Snapchat. Role Android Engineer. Experience level Mid. Coding round on Word Ladder using BFS for shortest transformation. Tips optimize graph traversal.",Hard,Rejected,Negative
"Company Pinterest. Role Data Engineer. Experience level Senior. Coding round on Serialize and Deserialize Binary Tree using BFS and DFS traversal. Tips understand serialization strategies.",Hard,Selected,Positive
"Company Dropbox. Role SDE. Experience level Mid. Coding round question Game of Life involving matrix manipulation in place. Tips solve without extra space.",Medium,Selected,Positive
"Company Zoom. Role Software Engineer. Experience level Fresher. Coding round question Group Anagrams using string sorting and hash map grouping. Tips optimize hash map keys.",Medium,Selected,Positive
"Company Flipkart. Role SDE-1. Experience level Fresher. Machine coding round on designing a Ride Sharing Application with features like add user, add vehicle, offer ride and select ride. Tips focus on clean OOP design and speed.",Hard,Selected,Positive
"Company Goldman Sachs. Role Analyst. Experience level Fresher. Coding round question Trapping Rain Water optimized to O(1) space. Tips practice DP and math based problems.",Medium,Selected,Positive
"Company Goldman Sachs. Role Analyst. Experience level Fresher. Coding round question Run Length Encoding for string compression. Tips be clear with string traversal.",Medium,Selected,Positive
"Company Walmart. Role Software Engineer II. Experience level Mid. DSA round question Spiral Matrix traversal. Tips handle boundaries carefully.",Medium,Selected,Positive
"Company PhonePe. Role Backend Engineer. Experience level Mid. Problem solving round on Minimum Platforms Required using greedy and sorting. Tips master greedy patterns.",Medium,Rejected,Negative
"Company Visa. Role Senior Software Engineer. Experience level Senior. System design round on designing a Payment Gateway with idempotency and ACID properties. Tips focus on security and failure handling.",Hard,Selected,Positive
"Company Paytm. Role SDE-2. Experience level Mid. Coding round question Reverse Linked List in Groups of K. Tips practice pointer manipulation.",Medium,Selected,Positive
"Company MakeMyTrip. Role Backend Developer. Experience level Mid. DSA round question Search in Rotated Sorted Array using modified binary search. Tips revise binary search variants.",Medium,Selected,Positive
"Company Cisco. Role Software Engineer. Experience level Fresher. Technical round question Count Set Bits using Brian Kernighan algorithm. Tips revise bit manipulation.",Easy,Selected,Positive
